year,first_snow_acc,first_snow_acc_doy,cont_snow_acc,cont_snow_acc_doy,first_snow_melt,first_snow_melt_doy,last_snow_melt,last_snow_melt_doy,max_swe,max_swe_date,max_swe_doy,waterYear,first_snow_acc_wydoy,cont_snow_acc_wydoy,first_snow_melt_wydoy,last_snow_melt_wydoy,max_swe_wydoy
1982,1981-10-18,-75,1981-10-18,-75,1982-06-11,161,1982-06-11,161,502.9,1982-04-14,103,1982,18,18,254,254,196
1983,1982-10-11,-82,1982-10-24,-69,1983-06-19,169,1983-06-19,169,553.7,1983-05-22,141,1983,11,24,262,262,234
1984,1983-10-16,-77,1983-11-08,-54,1984-06-04,155,1984-06-04,155,670.6,1984-05-08,128,1984,16,39,248,248,221
1985,1984-10-17,-76,1984-10-17,-76,1985-05-29,148,1985-05-29,148,414,1985-04-27,116,1985,17,17,241,241,209
1986,1985-09-29,-94,1985-09-29,-94,1986-06-15,165,1986-06-15,165,830.6,1986-04-20,109,1986,364,364,258,258,202
1987,1986-09-26,-97,1986-10-22,-71,1987-05-16,135,1987-05-16,135,315,1987-04-15,104,1987,361,22,228,228,197
1988,1987-11-11,-51,1987-11-11,-51,1988-06-02,153,1988-06-02,153,485.1,1988-04-27,117,1988,42,42,246,246,210
1989,1988-11-04,-58,1988-11-04,-58,1989-05-29,148,1989-05-29,148,452.1,1989-04-11,100,1989,35,35,241,241,193
1990,1989-10-16,-77,1989-10-16,-77,1990-06-07,157,1990-06-07,157,525.8,1990-05-01,120,1990,16,16,250,250,213
1991,1990-10-08,-85,1990-10-08,-85,1991-06-03,153,1991-06-03,153,393.7,1991-05-06,125,1991,8,8,246,246,218
1992,1991-10-25,-68,1991-10-25,-68,1992-05-18,138,1992-05-18,138,386.1,1992-04-25,115,1992,25,25,231,231,208
1993,1992-10-26,-67,1992-10-31,-62,1993-06-10,160,1993-06-10,160,662.9,1993-04-27,116,1993,26,31,253,253,209
1994,1993-10-10,-83,1993-10-10,-83,1994-05-29,148,1994-05-29,148,497.8,1994-04-15,104,1994,10,10,241,241,197
1995,1994-10-07,-86,1994-10-18,-75,1995-06-25,175,1995-06-25,175,647.7,1995-05-31,150,1995,7,18,268,268,243
1996,1995-09-19,-104,1995-10-23,-70,1996-06-08,159,1996-06-08,159,754.4,1996-05-05,125,1996,354,23,252,252,218
1997,1996-09-27,-96,1996-10-27,-66,1997-06-16,166,1997-06-16,166,779.8,1997-05-03,122,1997,363,27,259,259,215
