Date,Temperature_C,cond_uScm
10/1/11,9,13.71
10/2/11,8.9,14.31
10/3/11,8.8,14.29
10/4/11,8.3,14.59
10/5/11,7.3,
10/6/11,5.4,
10/7/11,2.3,
10/8/11,1.3,12.54
10/9/11,1.4,13.21
10/10/11,1.6,13.61
10/11/11,1.4,15.25
10/12/11,1,14.59
10/13/11,0.8,14.24
10/14/11,1.7,13.17
10/15/11,2.1,13.13
10/16/11,2.7,13.48
10/17/11,2.2,12.98
10/18/11,1,13.06
10/19/11,1.3,13.5
10/20/11,1.4,13.53
10/21/11,1.4,13.51
10/22/11,1.7,13.43
10/23/11,1.3,13.45
10/24/11,1.2,13.5
10/25/11,0.9,13.5
10/26/11,0.6,13.44
10/27/11,0.6,13.5
10/28/11,0.7,13.5
10/29/11,0.6,14.05
10/30/11,0.9,14.62
10/31/11,1.2,15.39
11/1/11,1.4,15.48
11/2/11,0.9,15.13
11/3/11,1.6,14.4
11/4/11,1.7,14.48
11/5/11,1.5,14.59
11/6/11,0.9,15.01
11/7/11,1.2,15.71
11/8/11,0.9,16.27
11/9/11,0.8,16.56
11/10/11,0.6,17.06
11/11/11,0.7,17.52
11/12/11,0.5,17.76
11/13/11,0.3,17.78
11/14/11,0.8,18.46
11/15/11,0.8,18.2
11/16/11,0.5,17.45
11/17/11,0.6,17.66
11/18/11,0.8,18.38
11/19/11,0.7,18.47
11/20/11,0.4,18.47
11/21/11,0.5,18.47
11/22/11,0.3,18.47
11/23/11,0.5,18.47
11/24/11,0.5,18.47
11/25/11,0.6,18.99
11/26/11,0.4,18.73
11/27/11,0.5,18.48
11/28/11,0.5,18.57
11/29/11,0.5,19.46
11/30/11,0.5,19.59
12/1/11,0.5,19.8
12/2/11,0.3,19.33
12/3/11,0.4,19.27
12/4/11,0.2,19.27
12/5/11,0.4,18.73
12/6/11,0.3,18.41
12/7/11,0.4,18.45
12/8/11,0.4,18.44
12/9/11,0.4,18.71
12/10/11,0.6,19.25
12/11/11,0.5,19.05
12/12/11,0.6,18.42
12/13/11,0.6,18.38
12/14/11,0.4,18.34
12/15/11,0.3,18.31
12/16/11,0.1,18.27
12/17/11,0.2,18.23
12/18/11,0.2,18.2
12/19/11,0.1,18.16
12/20/11,0,18.12
12/21/11,-0.1,18.08
12/22/11,0.1,18.05
12/23/11,-0.1,18.01
12/24/11,0,17.97
12/25/11,0,17.94
12/26/11,0,17.9
12/27/11,0,17.86
12/28/11,0,17.83
12/29/11,-0.1,17.79
12/30/11,0,17.75
12/31/11,0,17.72
1/1/12,0,17.68
1/2/12,0,17.64
1/3/12,0,17.61
1/4/12,0,17.57
1/5/12,0,17.53
1/6/12,0,17.5
1/7/12,0,17.46
1/8/12,0,17.42
1/9/12,0,17.39
1/10/12,0,17.35
1/11/12,0,17.31
1/12/12,0,17.28
1/13/12,0,17.24
1/14/12,0,17.2
1/15/12,0,17.17
1/16/12,0,17.13
1/17/12,0,17.09
1/18/12,0,17.06
1/19/12,0,17.02
1/20/12,0,16.98
1/21/12,0,16.94
1/22/12,0,16.91
1/23/12,0,16.87
1/24/12,-0.1,16.83
1/25/12,0,16.8
1/26/12,-0.1,16.76
1/27/12,-0.1,16.72
1/28/12,0,16.69
1/29/12,0,16.65
1/30/12,0,16.61
1/31/12,-0.1,16.58
2/1/12,-0.1,16.54
2/2/12,-0.1,16.5
2/3/12,-0.1,16.47
2/4/12,-0.1,16.43
2/5/12,-0.1,16.39
2/6/12,-0.1,16.36
2/7/12,-0.1,16.32
2/8/12,-0.1,16.28
2/9/12,-0.1,16.25
2/10/12,-0.1,16.21
2/11/12,-0.1,16.17
2/12/12,-0.1,16.14
2/13/12,-0.1,16.1
2/14/12,-0.1,16.06
2/15/12,-0.1,16.03
2/16/12,-0.1,15.99
2/17/12,-0.1,15.95
2/18/12,-0.1,15.92
2/19/12,-0.1,15.88
2/20/12,-0.1,15.84
2/21/12,-0.1,15.8
2/22/12,-0.1,15.77
2/23/12,-0.1,15.73
2/24/12,-0.1,15.69
2/25/12,-0.1,15.66
2/26/12,-0.1,15.62
2/27/12,-0.1,15.58
2/28/12,-0.1,15.55
2/29/12,-0.1,15.51
3/1/12,-0.1,15.47
3/2/12,-0.1,15.44
3/3/12,-0.1,15.4
3/4/12,-0.1,15.36
3/5/12,-0.1,15.33
3/6/12,-0.1,15.29
3/7/12,-0.1,15.25
3/8/12,-0.1,15.22
3/9/12,-0.1,15.18
3/10/12,-0.1,15.14
3/11/12,-0.1,15.11
3/12/12,-0.1,15.07
3/13/12,-0.1,15.03
3/14/12,-0.1,15
3/15/12,0,14.96
3/16/12,0,14.92
3/17/12,0,14.89
3/18/12,0,14.85
3/19/12,0.1,14.81
3/20/12,0.1,14.78
3/21/12,0.2,14.74
3/22/12,0.3,14.7
3/23/12,0.5,14.66
3/24/12,0.8,14.63
3/25/12,1.4,14.59
3/26/12,1.7,14.55
3/27/12,1.8,14.52
3/28/12,2.1,14.48
3/29/12,2.3,14.44
3/30/12,2.3,14.41
3/31/12,2.2,14.37
4/1/12,2.2,14.33
4/2/12,2.2,14.3
4/3/12,1.3,14.26
4/4/12,1.3,14.22
4/5/12,1.4,14.19
4/6/12,1.9,14.15
4/7/12,2.8,14.11
4/8/12,3.3,14.08
4/9/12,3.6,14.04
4/10/12,3.8,14.08
4/11/12,3.9,14.74
4/12/12,3.2,15.54
4/13/12,1.2,16.33
4/14/12,1.9,17.13
4/15/12,1.8,17.92
4/16/12,1.8,18.6
4/17/12,2.5,18.52
4/18/12,3.2,18.29
4/19/12,3.1,18.07
4/20/12,2.9,17.84
4/21/12,2.2,17.62
4/22/12,3.5,17.39
4/23/12,4.4,17.16
4/24/12,4.3,16.9
4/25/12,4.4,16.64
4/26/12,5.3,16.38
4/27/12,3.3,16.11
4/28/12,2.6,15.85
4/29/12,3.7,15.59
4/30/12,4.2,15.33
5/1/12,3.4,15.06
5/2/12,4,14.8
5/3/12,5,14.54
5/4/12,6.1,14.28
5/5/12,6,14.02
5/6/12,5.9,13.75
5/7/12,4.2,13.49
