"","waterYear","first_no_ice_wy_doy"
"1",1984,241
"2",1985,252
"3",1986,251
"4",1987,280
"5",1988,249
"6",1991,238
"7",1992,231
"8",1993,265
"9",1994,240
"10",1995,278
"11",1996,247
"12",1997,245
"13",1998,252
"14",1999,251
"15",2000,227
"16",2001,242
"17",2002,226
"18",2003,247
"19",2004,252
"20",2005,242
"21",2006,239
"22",2007,245
"23",2008,253
"24",2009,249
"25",2010,250
"26",2011,261
"27",2012,222
"28",2013,251
"29",2014,242
"30",2015,245
"31",2016,250
"32",2017,252
"33",2018,233
"34",2019,254
"35",2020,234
"36",2021,280
"37",2022,265
"38",2023,284
