Lake,Water_Year,Ice_On_100,Full_Ice_Cover,Functional_Ice_Off,No_Ice_Cover
Loch,2012,44,,4/25/2012,
Loch,2013,22,5/14/2013,5/28/2013,6/4/2013
Loch,2014,49,4/22/2014,5/6/2014,6/3/2014
Loch,2015,45,4/14/2015,5/7/2015,5/26/2015
Loch,2016,53,4/12/2016,5/24/2016,6/7/2016
Loch,2017,39,3/21/2017,5/16/2017,5/30/2017
Loch,2018,37,,5/8/2018,5/22/2018
Loch,2019,29,4/23/2019,5/29/2019,6/16/2019
Loch,2020,33,4/28/2020,5/5/2020,5/22/2020
Loch,2021,41,4/27/2021,5/25/2021,6/11/2021
Loch,2022,30,5/3/2022,5/17/2022,5/31/2022
Loch,2023,,5/2/2023,5/16/2023,5/30/2023
