Lake,Water_Year,Ice_On_100,Full_Ice_Cover,Functional_Ice_Off,No_Ice_Cover
Loch,2012,44,,4/25/12,
Loch,2013,22,5/14/13,5/28/13,6/4/13
Loch,2014,49,4/22/14,5/6/14,6/3/14
Loch,2015,45,4/14/15,5/7/15,5/26/15
Loch,2016,53,4/12/16,5/24/16,6/7/16
Loch,2017,39,3/21/17,5/16/17,5/30/17
Loch,2018,37,,5/8/18,5/22/18
Loch,2019,29,4/23/19,5/29/19,6/16/19
Loch,2020,33,4/28/20,5/5/20,5/22/20
Loch,2021,41,4/27/21,5/25/21,6/11/21
Loch,2022,30,5/3/22,5/17/22,5/31/22
Loch,2023,,5/2/23,5/16/23,5/30/23
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
