"Date","waterYear","Temperature_C","cond_uScm","wy_doy","ice_or_no","ice_presence","Flow","cumulative_dis","airT_mean","airT_max","airT_min","wind_10m_mean","wind_10m_max","cumulative_water_temp","cumulWaterTemp_3day_slope","cumulWaterTemp_5day_slope","CFDD","temp_5day_mean","temp_7day_mean","z_cond_uScm","CLWD","wind_2day_mean"
2013-10-01,2014,3.1,20.63,1,0,"no ice",4.79,4.79,8.4425,15.05,3.47,11.0779639075855,25.2526834206793,3.1,NA,NA,0,NA,NA,-2.38541600743763,0,NA
2013-10-02,2014,3.3,20.68,2,0,"no ice",4.38,9.17,7.7825,13.29,1.05,9.74686282734534,19.7465403918009,6.4,NA,NA,0,NA,NA,-2.29576532176595,1,10.4124133674654
2013-10-03,2014,3.1,20.74,3,0,"no ice",4.38,13.55,5.70958333333333,10.82,0.37,11.599338071865,25.2418870617991,9.5,3.2,NA,0,NA,NA,-2.18818449895995,0,10.6731004496052
2013-10-04,2014,1.2,20.79,4,0,"no ice",3.65,17.2,-5.83708333333333,0.24,-9.44,13.4878011793593,23.4173024110532,10.7,2.15,NA,1,NA,NA,-2.09853381328827,0,12.5435696256121
2013-10-05,2014,0,20.84,5,0,"no ice",3.54,20.74,-5.13958333333333,-1.25,-9.38,15.1531395364902,18.9692025524299,10.7,0.599999999999997,1.95,2,2.19158333333333,NA,-2.0088831276166,0,14.3204703579247
2013-10-06,2014,0.7,20.9,6,0,"no ice",3.34,24.08,2.88166666666667,7.72,-2.25,11.2534047394324,19.9840602871643,11.4,0.349999999999997,1.12,0,1.07941666666667,NA,-1.90130230481059,0,13.2032721379613
2013-10-07,2014,1.7,20.95,7,0,"no ice",3.13,27.21,8.49125,12.05,5.08,13.9380993142783,17.3821377970473,13.1,1.2,0.79,0,1.22116666666667,3.19011904761905,-1.81165161913891,0,12.5957520268553
2013-10-08,2014,2.3,21.04,8,0,"no ice",2.96,30.17,8.08541666666667,11.86,5.8,14.8000086316641,24.2054366093044,15.4,2,1.18,0,1.69633333333333,3.13910714285714,-1.6502803849299,0,14.3690539729712
2013-10-09,2014,3.2,21.1,9,0,"no ice",2.88,33.05,4.24708333333333,9.39,0.59,5.59431329304288,12.3294418411354,18.6,2.75,1.98,0,3.71316666666667,2.63404761904762,-1.54269956212389,1,10.1971609623535
2013-10-10,2014,3.4,21.02,10,0,"no ice",2.37,35.42,0.997916666666667,3.99,-2.41,10.2066077763194,29.5280415372201,22,3.3,2.67,0,4.94066666666667,1.96095238095238,-1.68614065919857,0,7.90046053468113
2013-10-11,2014,0.2,20.78,11,0,"no ice",2.46,37.88,-1.79083333333333,-0.83,-2.53,27.0957118512544,36.4593039382787,22.2,1.8,2.48,1,4.00616666666667,2.5389880952381,-2.1164639504226,0,18.6511598137869
2013-10-12,2014,0.5,20.88,12,0,"no ice",2.45,40.33,-1.18375,2.7,-4.36,9.95694197722166,18.3646064551413,22.7,0.349999999999994,1.82,2,2.07116666666667,3.10410714285714,-1.93716257907926,1,18.526326914238
2013-10-13,2014,1.7,21.08,13,0,"no ice",2.56,42.89,2.54083333333333,7.9,-4.69,5.80259304980204,11.6492712316857,24.4,1.1,1.23,0,0.962250000000001,3.05541666666667,-1.57855983639256,2,7.87976751351185
2013-10-14,2014,2.1,20.91,14,0,"no ice",2.5,45.39,-1.335,3.4,-4.06,15.3947080665446,28.4268129314444,26.5,1.89999999999999,1.12,1,-0.154166666666666,1.65166666666667,-1.88337216767625,0,10.5986505581733
2013-10-15,2014,2.1,21.25,15,0,"no ice",2.38,47.77,-5.82166666666667,-4.47,-6.96,4.98386916805091,9.05814510044888,28.6,2.1,1.66,2,-1.51808333333333,-0.335059523809523,-1.27374750510887,1,10.1892886172978
2013-10-16,2014,2,21.63,16,0,"no ice",2.26,50.03,-4.985,-2.04,-7.02,12.1292593534567,21.3012160705431,30.6,2.04999999999999,2,3,-2.15691666666667,-1.65392857142857,-0.592402294004147,0,8.55656426075379
2013-10-17,2014,2.3,22.06,17,0,"no ice",2.23,52.26,-3.76875,-1.62,-5.04,17.3209584300575,26.4726719741366,32.9,2.15,2.11,4,-2.67391666666667,-2.33488095238095,0.178593602772248,0,14.7251088917571
2013-10-18,2014,2.5,22.13,18,0,"no ice",2.08,54.34,-7.19458333333333,-4.66,-11.16,13.8809685818678,27.5631042210322,35.4,2.4,2.21,5,-4.621,-3.10684523809524,0.304104562712592,0,15.6009635059627
2013-10-19,2014,2.5,21.93,19,0,"no ice",2.06,56.4,-2.21416666666667,1.31,-5.81,23.9085367401002,28.254071189362,37.9,2.49999999999999,2.34,6,-4.79683333333333,-3.25404761904762,-0.0544981799741023,0,18.894752660984
2013-10-20,2014,2.9,22.06,20,0,"no ice",2.04,58.44,-2.9625,-0.82,-5.39,15.1976745169539,27.0340826359046,40.8,2.69999999999999,2.54,7,-4.225,-4.04023809523809,0.178593602772248,0,19.553105628527
2013-10-21,2014,2.7,22.65,21,0,"no ice",1.96,60.4,-3.6825,-1.15,-7.6,11.6069854926824,17.4901013858488,43.5,2.79999999999999,2.66,8,-3.9645,-4.37559523809524,1.236471693698,0,13.4023300048182
2013-10-22,2014,2.9,22.51,22,1,"ice",1.98,62.38,1.95583333333333,5.29,-1.67,15.735693067812,22.7587245193638,46.4,2.79999999999999,2.76,0,-2.81958333333333,-3.26452380952381,0.985449773817319,0,13.6713392802472
2013-10-23,2014,3.5,22.45,23,1,"ice",2.04,64.42,3.84333333333333,8.27,1.02,12.0284933373352,19.7789294684414,49.9,3.19999999999999,2.96,0,-0.611999999999999,-2.00333333333333,0.877868951011306,0,13.8820932025736
2013-10-24,2014,3.8,22.36,24,1,"ice",2.15,66.57,3.54916666666667,8.65,-0.53,6.79225928046668,12.4158127121766,53.7,3.65,3.22,0,0.540666666666668,-0.957916666666666,0.716497716802293,1,9.41037630890093
2013-10-25,2014,3.9,22.24,25,1,"ice",2.23,68.8,3.73541666666667,9.18,-2.61,9.13326976427684,18.6345154271451,57.6,3.84999999999999,3.55,0,1.88025,0.603511904761905,0.501336071190274,2,7.96276452237176
2013-10-26,2014,3.9,21.95,26,1,"ice",2.21,71.01,1.53583333333333,8.01,-3.98,7.15708624098742,20.6966199732545,61.5,3.89999999999999,3.79,0,2.92391666666667,1.13922619047619,-0.0186379057054335,3,8.14517800263213
2013-10-27,2014,3.5,21.96,27,1,"ice",2.2,73.21,2.14958333333333,4.04,-1.69,16.4738941062252,25.0583489608365,65,3.69999999999999,3.8,0,2.96266666666667,1.86952380952381,-0.000707768571095878,0,11.8154901736063
2013-10-28,2014,3.7,21.97,28,1,"ice",2.12,75.33,-0.987083333333333,2.8,-3.65,3.63702339772601,7.66541480490906,68.7,3.6,3.74,1,1.99658333333333,2.25458333333333,0.0172223685632354,1,10.0554587519756
2013-10-29,2014,3.4,21.98,29,1,"ice",2.12,77.45,0.3425,3.04,-3.7,9.36089299736186,15.6547203762227,72.1,3.54999999999999,3.62,0,1.35525,2.02410714285714,0.035152505697573,2,6.49895819754393
2013-10-30,2014,2.7,21.99,30,1,"ice",1.91,79.36,-5.30166666666667,-3.7,-6.87,17.7042291703052,27.4227515555902,74.8,3.05,3.37,1,-0.452166666666666,0.717678571428572,0.0530826428319042,0,13.5325610838335
2013-10-31,2014,1.6,22.01,31,1,"ice",1.85,81.21,-6.7625,-5.19,-8.21,23.83296222796,32.20553854,76.4,2.14999999999998,2.89,2,-2.11183333333333,-0.755416666666666,0.0889429171005794,0,20.7685956991326
2013-11-01,2014,1.4,22.02,32,1,"ice",1.68,82.89,-5.29666666666667,-3.6,-6.06,15.9084348097437,24.7452545533121,77.8,1.49999999999999,2.25,3,-3.60108333333333,-2.04571428571429,0.106873054234911,0,19.8706985188519
2013-11-02,2014,1.3,22.03,33,1,"ice",1.59,84.48,1.27791666666667,4.73,-4.03,21.5589791386425,29.7871541503438,79.1,1.34999999999998,1.7,0,-3.14808333333333,-2.08255952380952,0.124803191369248,0,18.7337069741931
2013-11-03,2014,1.4,22.04,34,1,"ice",1.6,86.08,0.58875,4.33,-7.16,22.6530101718046,32.8101346367868,80.5,1.35,1.41,0,-3.09883333333333,-2.30553571428571,0.142733328503579,0,22.1059946552236
2013-11-04,2014,1.4,22.05,35,1,"ice",1.54,87.62,-6.4975,-2.4,-9.31,12.1180131464041,21.9597939622324,81.9,1.39999999999999,1.37,1,-3.338,-3.09273809523809,0.160663465637917,0,17.3855116591044
2013-11-05,2014,1.3,22.06,36,1,"ice",1.39,89.01,-10.4908333333333,-3.71,-13.46,15.8643496779535,25.1447198318777,83.2,1.34999999999999,1.36,2,-4.08366666666667,-4.64035714285714,0.178593602772248,0,13.9911814121788
2013-11-06,2014,0.9,22.07,37,1,"ice",1.33,90.34,-8.57208333333333,-5.76,-13.21,25.4348719768617,30.7912155261981,84.1,1.1,1.27,3,-4.73875,-5.10755952380952,0.196523739906586,0,20.6496108274076
2013-11-07,2014,1.6,22.08,38,1,"ice",1.31,91.65,-1.7,2.41,-6.05,22.5796849011037,27.7466423219948,85.7,1.25,1.26,4,-5.33433333333333,-4.38434523809524,0.214453877040917,0,24.0072784389827
2013-11-08,2014,2.1,22.09,39,1,"ice",1.3,92.95,0.9625,3.15,-0.48,24.231527809303,33.7278251415999,87.8,1.84999999999998,1.43,0,-5.25958333333333,-3.49017857142857,0.232384014175255,0,23.4056063552034
2013-11-09,2014,2.5,22.1,40,1,"ice",1.33,94.28,1.29,4.41,-0.78,19.3430264786552,27.6062896565528,90.3,2.29999999999998,1.79,0,-3.70208333333333,-3.48845238095238,0.250314151309592,0,21.7872771439791
2013-11-10,2014,2.9,22.11,41,1,"ice",1.32,95.6,2.56458333333333,5.48,1.02,16.8216268318527,21.7330704257492,93.2,2.69999999999999,2.28,0,-1.091,-3.20619047619047,0.268244288443924,0,18.0823266552539
2013-11-11,2014,2.8,22.13,42,1,"ice",1.29,96.89,1.62041666666667,5.61,-1.05,14.0136738264394,22.6399645716821,96,2.84999999999998,2.6,0,0.947500000000002,-2.04648809523809,0.304104562712592,0,15.417650329146
2013-11-12,2014,3,22.14,43,1,"ice",1.22,98.11,0.727083333333333,6.4,-6.2,9.24258289796509,22.3376665230378,99,2.89999999999998,2.81,0,1.43291666666667,-0.44392857142857,0.32203469984693,1,11.6281283622022
2013-11-13,2014,2.6,22.15,44,1,"ice",1.14,99.25,2.27458333333333,4.15,0.14,15.6853100597273,20.9773253041385,101.6,2.79999999999997,2.84,0,1.69533333333334,1.10559523809524,0.339964836981261,0,12.4639464788462
2013-11-14,2014,2.6,22.16,45,1,"ice",1.2,100.45,-1.54458333333333,0.71,-3.84,12.7289071197011,21.0744925340598,104.2,2.59999999999998,2.75999999999999,1,1.12841666666667,1.12779761904762,0.357894974115599,0,14.2071085897142
2013-11-15,2014,2.5,22.17,46,1,"ice",1.14,101.59,-2.38416666666667,0.11,-5.51,12.8494664605295,16.3025019090319,106.7,2.54999999999998,2.66,2,0.138666666666668,0.649702380952382,0.375825111249936,0,12.7891867901153
2013-11-16,2014,1.2,22.18,47,1,"ice",1.07,102.66,-6.07708333333333,-4.57,-7.94,23.5603541662942,39.8709533444073,107.9,1.84999999999999,2.29,3,-1.40083333333333,-0.402738095238094,0.393755248384268,0,18.2049103134118
2013-11-17,2014,0.9,22.19,48,1,"ice",1,103.66,-7.0125,-4.23,-10.36,26.2967812940475,41.1773127689058,108.8,1.04999999999998,1.81,4,-2.94875,-1.77089285714286,0.411685385518605,0,24.9285677301708
2013-11-18,2014,1.5,22.2,49,1,"ice",1.01,104.67,-1.24416666666667,3.53,-4.84,18.5877312053311,29.2905216418567,110.3,1.19999999999997,1.43000000000001,5,-3.6525,-2.18011904761905,0.429615522652936,0,22.4422562496893
2013-11-19,2014,1.8,22.21,50,1,"ice",1.03,105.7,-1.07833333333333,1.2,-2.25,23.1757338811206,33.6630469883189,112.1,1.64999999999998,1.32,6,-3.55925,-2.43803571428571,0.447545659787274,0,20.8817325432259
2013-11-20,2014,2,22.22,51,1,"ice",1.05,106.75,-2.88666666666667,-1.84,-4.1,13.9034609962045,22.9206699025661,114.1,1.89999999999997,1.57000000000001,7,-3.65975,-3.17535714285714,0.465475796921605,0,18.5395974386625
