"","Date","wy_doy","waterYear","Flow","cumulative_dis","cond_uScm_impute","temperature_C_impute","ice_or_no","ice_presence"
"706",1983-10-01,1,1984,2.52,2.52,NA,NA,NA,NA
"707",1983-10-02,2,1984,2.52,5.04,NA,NA,NA,NA
"708",1983-10-03,3,1984,2.52,7.56,NA,NA,NA,NA
"709",1983-10-04,4,1984,2.52,10.08,NA,NA,NA,NA
"710",1983-10-05,5,1984,2.52,12.6,NA,NA,NA,NA
"711",1983-10-06,6,1984,2.52,15.12,NA,NA,NA,NA
"712",1983-10-07,7,1984,2.52,17.64,NA,NA,NA,NA
"713",1983-10-08,8,1984,2.52,20.16,NA,NA,NA,NA
"714",1983-10-09,9,1984,2.52,22.68,NA,NA,NA,NA
"715",1983-10-10,10,1984,2.52,25.2,NA,NA,NA,NA
"716",1983-10-11,11,1984,2.52,27.72,NA,NA,NA,NA
"717",1983-10-12,12,1984,2.52,30.24,NA,NA,NA,NA
"718",1983-10-13,13,1984,2.52,32.76,NA,NA,NA,NA
"719",1983-10-14,14,1984,2.52,35.28,NA,NA,NA,NA
"720",1983-10-15,15,1984,2.52,37.8,NA,NA,NA,NA
"721",1983-10-16,16,1984,2.52,40.32,NA,NA,NA,NA
"722",1983-10-17,17,1984,2.52,42.84,NA,NA,NA,NA
"723",1983-10-18,18,1984,2.52,45.36,NA,NA,NA,NA
"724",1983-10-19,19,1984,2.52,47.88,NA,NA,NA,NA
"725",1983-10-20,20,1984,2.52,50.4,NA,NA,NA,NA
"726",1983-10-21,21,1984,2.52,52.92,NA,NA,NA,NA
"727",1983-10-22,22,1984,2.52,55.44,NA,NA,NA,NA
"728",1983-10-23,23,1984,2.52,57.96,NA,NA,NA,NA
"729",1983-10-24,24,1984,2.52,60.48,NA,NA,NA,NA
"730",1983-10-25,25,1984,2.52,63,NA,NA,NA,NA
"731",1983-10-26,26,1984,2.52,65.52,NA,NA,NA,NA
"732",1983-10-27,27,1984,2.52,68.04,NA,NA,NA,NA
"733",1983-10-28,28,1984,2.52,70.56,NA,NA,NA,NA
"734",1983-10-29,29,1984,2.52,73.08,NA,NA,NA,NA
"735",1983-10-30,30,1984,2.52,75.6,NA,NA,NA,NA
"736",1983-10-31,31,1984,1.07,76.67,NA,NA,NA,NA
"737",1983-11-01,32,1984,1.07,77.74,NA,NA,NA,NA
"738",1983-11-02,33,1984,1.07,78.81,NA,NA,NA,NA
"739",1983-11-03,34,1984,1.07,79.88,NA,NA,NA,NA
"740",1983-11-04,35,1984,1.07,80.95,NA,NA,NA,NA
"741",1983-11-05,36,1984,1.07,82.02,NA,NA,NA,NA
"742",1983-11-06,37,1984,1.07,83.09,NA,NA,NA,NA
"743",1983-11-07,38,1984,1.07,84.16,NA,NA,NA,NA
"744",1983-11-08,39,1984,1.07,85.23,NA,NA,NA,NA
"745",1983-11-09,40,1984,1.07,86.3,NA,NA,NA,NA
"746",1983-11-10,41,1984,1.07,87.37,NA,NA,NA,NA
"747",1983-11-11,42,1984,1.07,88.4399999999999,NA,NA,NA,NA
"748",1983-11-12,43,1984,1.07,89.5099999999999,NA,NA,NA,NA
"749",1983-11-13,44,1984,1.07,90.5799999999999,NA,NA,NA,NA
"750",1983-11-14,45,1984,1.07,91.6499999999999,NA,NA,NA,NA
"751",1983-11-15,46,1984,1.07,92.7199999999999,NA,NA,NA,NA
"752",1983-11-16,47,1984,1.07,93.7899999999999,NA,NA,NA,NA
"753",1983-11-17,48,1984,1.07,94.8599999999999,NA,NA,NA,NA
"754",1983-11-18,49,1984,1.07,95.9299999999999,NA,NA,NA,NA
"755",1983-11-19,50,1984,1.07,96.9999999999999,NA,NA,NA,NA
"756",1983-11-20,51,1984,1.07,98.0699999999999,NA,NA,NA,NA
"757",1983-11-21,52,1984,1.07,99.1399999999999,NA,NA,NA,NA
"758",1983-11-22,53,1984,1.07,100.21,NA,NA,NA,NA
"759",1983-11-23,54,1984,1.07,101.28,NA,NA,NA,NA
"760",1983-11-24,55,1984,1.07,102.35,NA,NA,NA,NA
"761",1983-11-25,56,1984,1.07,103.42,NA,NA,NA,NA
"762",1983-11-26,57,1984,1.07,104.49,NA,NA,NA,NA
"763",1983-11-27,58,1984,1.07,105.56,NA,NA,NA,NA
"764",1983-11-28,59,1984,1.07,106.63,NA,NA,NA,NA
"765",1983-11-29,60,1984,1.07,107.7,NA,NA,NA,NA
"766",1983-11-30,61,1984,0.36,108.06,NA,NA,NA,NA
"767",1983-12-01,62,1984,0.36,108.42,NA,NA,NA,NA
"768",1983-12-02,63,1984,0.36,108.78,NA,NA,NA,NA
"769",1983-12-03,64,1984,0.36,109.14,NA,NA,NA,NA
