"","waterYear","wy_doy","Date","predicted_ice_probability","predicted_ice_binary"
"1",1984,209,1984-04-26,1,1
"2",1984,210,1984-04-27,1,1
"3",1984,211,1984-04-28,1,1
"4",1984,212,1984-04-29,1,1
"5",1984,213,1984-04-30,1,1
"6",1984,214,1984-05-01,1,1
"7",1984,215,1984-05-02,1,1
"8",1984,224,1984-05-11,1,1
"9",1984,225,1984-05-12,1,1
"10",1984,226,1984-05-13,1,1
"11",1984,227,1984-05-14,0.988,1
"12",1984,228,1984-05-15,0.998,1
"13",1984,229,1984-05-16,0.976,1
"14",1984,230,1984-05-17,0.978,1
"15",1984,231,1984-05-18,0.974,1
"16",1984,232,1984-05-19,0.972,1
"17",1984,233,1984-05-20,0.98,1
"18",1984,234,1984-05-21,0.946,1
"19",1984,235,1984-05-22,0.952,1
"20",1984,236,1984-05-23,0.76,1
"21",1984,237,1984-05-24,0.72,1
"22",1984,238,1984-05-25,0.86,1
"23",1984,239,1984-05-26,0.86,1
"24",1984,240,1984-05-27,0.82,1
"25",1984,241,1984-05-28,0.674,1
"26",1984,242,1984-05-29,0.524,1
"27",1984,243,1984-05-30,0.512,1
"28",1984,244,1984-05-31,0.518,1
"29",1984,245,1984-06-01,0.546,1
"30",1984,246,1984-06-02,0.544,1
"31",1984,247,1984-06-03,0.532,1
"32",1984,248,1984-06-04,0.398,0
"33",1984,249,1984-06-05,0.482,0
"34",1984,250,1984-06-06,0.48,0
"35",1984,251,1984-06-07,0.48,0
"36",1984,252,1984-06-08,0.428,0
"37",1984,253,1984-06-09,0.344,0
"38",1984,254,1984-06-10,0.268,0
"39",1984,255,1984-06-11,0.186,0
"40",1984,256,1984-06-12,0.314,0
"41",1984,257,1984-06-13,0.246,0
"42",1984,258,1984-06-14,0.07,0
"43",1984,259,1984-06-15,0.082,0
"44",1984,260,1984-06-16,0.102,0
"45",1984,261,1984-06-17,0.152,0
"46",1984,262,1984-06-18,0.122,0
"47",1984,263,1984-06-19,0.05,0
"48",1984,264,1984-06-20,0.014,0
"49",1984,265,1984-06-21,0.012,0
"50",1984,266,1984-06-22,0.01,0
"51",1984,267,1984-06-23,0.004,0
"52",1984,268,1984-06-24,0,0
"53",1984,269,1984-06-25,0.006,0
"54",1984,270,1984-06-26,0.004,0
"55",1984,271,1984-06-27,0.002,0
"56",1984,272,1984-06-28,0,0
"57",1984,273,1984-06-29,0.004,0
"58",1984,274,1984-06-30,0.014,0
"59",1984,275,1984-07-01,0.002,0
"60",1984,276,1984-07-02,0.018,0
"61",1984,277,1984-07-03,0.01,0
"62",1985,213,1985-05-01,0.996,1
"63",1985,214,1985-05-02,0.992,1
"64",1985,215,1985-05-03,0.972,1
"65",1985,216,1985-05-04,0.894,1
"66",1985,217,1985-05-05,0.97,1
"67",1985,218,1985-05-06,0.994,1
"68",1985,219,1985-05-07,0.98,1
"69",1985,220,1985-05-08,0.998,1
"70",1985,221,1985-05-09,0.99,1
"71",1985,222,1985-05-10,0.994,1
"72",1985,223,1985-05-11,0.994,1
"73",1985,224,1985-05-12,0.994,1
"74",1985,225,1985-05-13,0.998,1
"75",1985,226,1985-05-14,0.998,1
"76",1985,227,1985-05-15,0.888,1
"77",1985,228,1985-05-16,0.888,1
"78",1985,229,1985-05-17,0.89,1
"79",1985,230,1985-05-18,0.898,1
"80",1985,231,1985-05-19,0.954,1
"81",1985,232,1985-05-20,0.944,1
"82",1985,233,1985-05-21,0.978,1
"83",1985,234,1985-05-22,0.972,1
"84",1985,235,1985-05-23,0.956,1
"85",1985,236,1985-05-24,0.952,1
"86",1985,237,1985-05-25,0.98,1
"87",1985,238,1985-05-26,0.98,1
"88",1985,239,1985-05-27,0.968,1
"89",1985,240,1985-05-28,0.938,1
"90",1985,241,1985-05-29,0.872,1
"91",1985,242,1985-05-30,0.818,1
"92",1985,243,1985-05-31,0.81,1
"93",1985,244,1985-06-01,0.802,1
"94",1985,245,1985-06-02,0.708,1
"95",1985,246,1985-06-03,0.612,1
"96",1985,247,1985-06-04,0.692,1
"97",1985,248,1985-06-05,0.59,1
"98",1985,249,1985-06-06,0.552,1
"99",1985,250,1985-06-07,0.578,1
"100",1985,251,1985-06-08,0.586,1
"101",1985,252,1985-06-09,0.614,1
"102",1985,253,1985-06-10,0.576,1
"103",1985,254,1985-06-11,0.296,0
"104",1985,255,1985-06-12,0.224,0
"105",1985,256,1985-06-13,0.154,0
"106",1985,257,1985-06-14,0.11,0
"107",1985,258,1985-06-15,0.086,0
"108",1985,259,1985-06-16,0.106,0
"109",1985,260,1985-06-17,0.082,0
"110",1985,261,1985-06-18,0.046,0
"111",1985,262,1985-06-19,0.032,0
"112",1985,263,1985-06-20,0.034,0
"113",1985,264,1985-06-21,0.026,0
"114",1985,265,1985-06-22,0.022,0
"115",1985,266,1985-06-23,0.006,0
"116",1985,267,1985-06-24,0.002,0
"117",1985,268,1985-06-25,0.006,0
"118",1985,269,1985-06-26,0.006,0
"119",1985,270,1985-06-27,0.012,0
"120",1985,283,1985-07-10,0.004,0
"121",1986,215,1986-05-03,0.986,1
"122",1986,216,1986-05-04,0.962,1
"123",1986,225,1986-05-13,1,1
"124",1986,226,1986-05-14,1,1
"125",1986,227,1986-05-15,1,1
"126",1986,228,1986-05-16,1,1
"127",1986,229,1986-05-17,1,1
"128",1986,230,1986-05-18,1,1
"129",1986,231,1986-05-19,1,1
"130",1986,232,1986-05-20,1,1
"131",1986,233,1986-05-21,1,1
"132",1986,234,1986-05-22,0.998,1
"133",1986,235,1986-05-23,0.994,1
"134",1986,236,1986-05-24,0.998,1
"135",1986,237,1986-05-25,0.996,1
"136",1986,238,1986-05-26,0.998,1
"137",1986,239,1986-05-27,0.998,1
"138",1986,240,1986-05-28,0.996,1
"139",1986,241,1986-05-29,0.972,1
"140",1986,242,1986-05-30,0.956,1
"141",1986,243,1986-05-31,0.926,1
