"","model","waterYear","ice_off_date","ice_off_dowy"
"1","RandomForest",1984,1984-06-04,248
"2","RandomForest",1985,1985-06-11,254
"3","RandomForest",1986,1986-06-10,253
"4","RandomForest",1987,1987-07-08,281
"5","RandomForest",1988,1988-06-03,247
"6","RandomForest",1991,1991-05-27,239
"7","RandomForest",1992,1992-05-23,236
"8","RandomForest",1993,1993-06-23,266
"9","RandomForest",1994,1994-05-29,241
"10","RandomForest",1995,1995-07-08,281
"11","RandomForest",1996,1996-06-08,252
"12","RandomForest",1997,1997-06-04,247
"13","RandomForest",1998,1998-06-10,253
"14","RandomForest",1999,NA,NA
"15","RandomForest",2000,2000-05-20,233
"16","RandomForest",2001,2001-05-31,243
"17","RandomForest",2002,2002-06-03,246
"18","RandomForest",2003,2003-06-09,252
"19","RandomForest",2004,2004-06-22,266
"20","RandomForest",2005,NA,NA
"21","RandomForest",2006,2006-05-24,236
"22","RandomForest",2007,2007-06-02,245
"23","RandomForest",2008,2008-06-10,254
"24","RandomForest",2009,2009-06-08,251
"25","RandomForest",2010,2010-06-08,251
"26","RandomForest",2011,2011-06-20,263
"27","RandomForest",2012,2012-05-21,234
"28","RandomForest",2013,2013-06-09,252
