"","year","accuracy_rf","ice_off_diff_rf","obs_ice_off","pred_ice_off","model","waterYear"
"1",2014,0.949152542372881,6,78,72,"hydro",2014
"2",2015,0.9,-8,31,39,"hydro",2015
"3",2016,0.966101694915254,4,81,77,"hydro",2016
"4",2017,0.991071428571429,1,69,68,"hydro",2017
"5",2018,0.967741935483871,3,40,37,"hydro",2018
"6",2019,0.91,9,81,72,"hydro",2019
"7",2020,0.920634920634921,-5,23,28,"hydro",2020
"8",2024,0.928571428571429,-5,32,37,"hydro",2024
"9",2014,0.957627118644068,5,78,73,"met",2014
"10",2015,0.915254237288136,-10,69,79,"met",2015
"11",2016,0.983050847457627,2,81,79,"met",2016
"12",2017,0.974576271186441,3,73,70,"met",2017
"13",2018,0.966101694915254,-4,65,69,"met",2018
"14",2019,0.889830508474576,13,93,80,"met",2019
"15",2020,0.949152542372881,-6,66,72,"met",2020
"16",2021,0.949152542372881,6,85,79,"met",2021
"17",2022,0.974576271186441,-3,74,77,"met",2022
"18",2023,0.983050847457627,-2,73,75,"met",2023
"19",2024,0.991525423728814,-1,80,81,"met",2024
"20",2014,0.931623931623932,8,77,69,"sink",2014
"21",2015,0.89873417721519,-8,30,38,"sink",2015
"22",2016,0.965811965811966,4,80,76,"sink",2016
"23",2017,0.990990990990991,1,68,67,"sink",2017
"24",2018,0.978260869565217,2,39,37,"sink",2018
"25",2019,0.919191919191919,9,80,71,"sink",2019
"26",2020,0.919354838709677,-5,22,27,"sink",2020
"27",2024,0.956521739130435,-3,31,34,"sink",2024
