"","Date","waterYear","Temperature_C","cond_uScm","wy_doy","ice_or_no","ice_presence","Flow","cumulative_dis"
"1",2013-09-14,2013,6.8,18.33,349,0,"no ice",25.8,2101.99
"2",2013-09-15,2013,6.6,18.59,350,0,"no ice",27.4,2129.39
"3",2013-09-16,2013,6.5,18.65,351,0,"no ice",17.7,2147.09
"4",2013-09-17,2013,7.3,19.15,352,0,"no ice",15.1,2162.19
"5",2013-09-18,2013,7.4,19.2,353,0,"no ice",15.7,2177.89
"6",2013-09-19,2013,6.6,19.27,354,0,"no ice",12.7,2190.59
"7",2013-09-20,2013,6.4,19.68,355,0,"no ice",9.97,2200.56
"8",2013-09-21,2013,6.5,20.15,356,0,"no ice",9.59,2210.15
"9",2013-09-22,2013,6.5,20.2,357,0,"no ice",11.6,2221.75
"10",2013-09-23,2013,4,19.99,358,0,"no ice",9.84,2231.59
"11",2013-09-24,2013,3,20.18,359,0,"no ice",8.82,2240.41
"12",2013-09-25,2013,4.2,20.31,360,0,"no ice",7.79,2248.2
"13",2013-09-26,2013,5.4,20.49,361,0,"no ice",7.46,2255.66
"14",2013-09-27,2013,4.6,20.45,362,0,"no ice",6.36,2262.02
"15",2013-09-28,2013,1.5,20.45,363,0,"no ice",6.13,2268.15
"16",2013-09-29,2013,1.7,20.48,364,0,"no ice",5.66,2273.81
"17",2013-09-30,2013,2.4,20.62,365,0,"no ice",5.19,2279
"188",2013-10-01,2014,3.1,20.63,1,0,"no ice",4.79,4.79
"189",2013-10-02,2014,3.3,20.68,2,0,"no ice",4.38,9.17
"190",2013-10-03,2014,3.1,20.74,3,0,"no ice",4.38,13.55
"191",2013-10-04,2014,1.2,20.79,4,0,"no ice",3.65,17.2
"192",2013-10-05,2014,0,20.84,5,0,"no ice",3.54,20.74
"193",2013-10-06,2014,0.7,20.9,6,0,"no ice",3.34,24.08
"194",2013-10-07,2014,1.7,20.95,7,0,"no ice",3.13,27.21
"195",2013-10-08,2014,2.3,21.04,8,0,"no ice",2.96,30.17
"196",2013-10-09,2014,3.2,21.1,9,0,"no ice",2.88,33.05
"197",2013-10-10,2014,3.4,21.02,10,0,"no ice",2.37,35.42
